step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
12500,3,0.000248,-8.506571,-1.535948,0.276936,0.034213,-1.556185,0.177092,0.099844,0.941055,0.003181,0.043924,1.000000,670.814744,19.584289,23.828624,3.440557,0.010435,0.005623
12600,3,0.000247,-8.896149,-1.543113,0.280969,0.033958,-1.563027,0.169040,0.111928,0.943242,0.002602,0.043214,1.000000,435.246897,19.586761,23.740525,3.341621,0.009782,0.005064
12700,3,0.000247,-8.528881,-1.544230,0.245623,0.033886,-1.564252,0.171099,0.074523,0.942539,0.003338,0.042833,1.000000,231.647963,19.589163,23.652533,3.325977,0.010265,0.007653
12800,3,0.000246,-8.466595,-1.542903,0.224028,0.033979,-1.562991,0.172082,0.051946,0.943438,0.002444,0.043251,1.000000,212.762635,19.591844,23.564228,3.232894,0.010329,0.005394
12900,3,0.000245,-8.775212,-1.536316,0.249044,0.033867,-1.555876,0.175799,0.073245,0.940977,0.003122,0.044128,1.000000,163.139347,19.594536,23.475932,3.405335,0.008756,0.006265
13000,3,0.000244,-8.570129,-1.545979,0.250403,0.033381,-1.565169,0.179251,0.071153,0.938750,0.003086,0.043291,1.000000,99.790998,19.597119,23.387791,3.429904,0.008332,0.005324
13100,3,0.000243,-7.552235,-1.552017,0.257514,0.033484,-1.571726,0.164998,0.092516,0.945430,0.002980,0.043460,1.000000,26.798200,19.599702,23.299674,3.442165,0.009888,0.005878
13200,3,0.000242,-7.329962,-1.549612,0.263319,0.033671,-1.569228,0.166681,0.096638,0.944297,0.002751,0.043320,1.000000,49.503814,19.602282,23.211583,3.327007,0.009268,0.005482
13300,3,0.000241,-7.237046,-1.541561,0.288568,0.033738,-1.561171,0.170734,0.117834,0.940586,0.002503,0.042979,1.000000,45.248363,19.604769,23.123625,3.388658,0.009137,0.005916
13400,3,0.000240,-8.601139,-1.533370,0.359515,0.034207,-1.553515,0.180324,0.179191,0.938789,0.002472,0.044256,1.000000,363.229261,19.606905,23.036103,3.344798,0.010138,0.004272
13500,3,0.000239,-7.097398,-1.539064,0.331338,0.034275,-1.559292,0.178039,0.153299,0.938750,0.002801,0.043783,1.000000,236.191986,19.608978,22.948672,3.404206,0.010301,0.005051
