step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
11700,2,0.000295,0.238733,-0.056878,1.970738,0.006639,-0.693722,1.849926,0.120812,0.221016,0.044014,0.114548,2.392409,0.605377,5.156483,340.930032,42.047939
11800,3,0.000295,0.238281,-0.057174,1.969696,0.006683,-0.697493,1.847093,0.122604,0.218750,0.032418,0.114452,2.412624,0.529864,5.154307,340.750626,42.130549
11900,3,0.000295,0.239231,-0.056961,1.974612,0.006945,-0.697211,1.851289,0.123323,0.220508,0.041329,0.113355,2.368191,0.543070,5.155379,340.356483,42.105322
12000,3,0.000294,0.239330,-0.055844,1.967824,0.007012,-0.687256,1.847918,0.119907,0.222539,0.044993,0.114475,2.326804,0.494751,5.157460,339.896012,42.009883
12000,0.007685,0.009223,0.010312,-0.047461,0.009090,-0.626682,0.071084,0.229004,0.129820,2.242074,0.050730,0.116800,41.513707
12100,3,0.000294,0.239150,-0.056166,1.968768,0.007059,-0.690664,1.848665,0.120104,0.219414,0.032637,0.119340,2.366340,0.780573,5.159008,339.470936,41.958667
12200,3,0.000294,0.240172,-0.055056,1.968184,0.006963,-0.679241,1.848284,0.119900,0.222227,0.025219,0.117412,2.347932,0.514483,5.160712,339.035900,42.119779
12300,3,0.000294,0.238046,-0.056304,1.962333,0.006855,-0.690053,1.848456,0.113877,0.224297,0.032871,0.116010,2.332759,0.608821,5.162737,338.580071,42.238311
12400,3,0.000294,0.233799,-0.058282,1.947212,0.006419,-0.704801,1.842484,0.104728,0.227773,0.035278,0.112554,2.300790,0.867398,5.164311,338.154200,42.392488
12500,3,0.000294,0.236319,-0.057079,1.955985,0.006426,-0.693617,1.851718,0.104267,0.226836,0.043623,0.115923,2.301900,0.822780,5.165514,337.752796,42.229071
12600,3,0.000294,0.232290,-0.059551,1.945600,0.006370,-0.716613,1.850759,0.094842,0.231484,0.056965,0.116521,2.327849,0.784224,5.166964,337.335402,42.434190
12700,3,0.000294,0.231227,-0.058817,1.933621,0.006356,-0.709416,1.841820,0.091801,0.230313,0.048701,0.116698,2.331625,0.785321,5.167325,336.989290,42.306445
12800,3,0.000294,0.230235,-0.058662,1.925986,0.006150,-0.706855,1.845700,0.080285,0.232344,0.035076,0.122369,2.338924,0.648450,5.168376,336.598325,42.238748
12900,3,0.000293,0.225502,-0.061146,1.910989,0.005829,-0.726584,1.840485,0.070503,0.242500,0.032404,0.118640,2.333426,1.493438,5.170152,336.160333,42.365096
13000,3,0.000293,0.226777,-0.059552,1.908861,0.006152,-0.714345,1.842543,0.066318,0.241406,0.038854,0.114908,2.293930,1.884313,5.170720,335.801044,42.368037
13100,3,0.000293,0.229304,-0.057248,1.910345,0.006336,-0.693927,1.845355,0.064991,0.237031,0.037637,0.115530,2.307522,2.653146,5.171500,335.428168,42.395322
13200,3,0.000293,0.223766,-0.060623,1.895929,0.005537,-0.718960,1.843673,0.052256,0.240977,0.034421,0.115968,2.302091,1.352846,5.173826,334.955209,42.719301
13300,3,0.000293,0.224041,-0.061631,1.904482,0.005652,-0.729838,1.838596,0.065886,0.246094,0.038164,0.117883,2.299493,1.309307,5.174927,334.561898,42.754570
13400,3,0.000293,0.224314,-0.060551,1.899099,0.005601,-0.719233,1.841311,0.057788,0.242930,0.040811,0.118008,2.302734,1.187395,5.176141,334.161437,42.685984
13500,3,0.000293,0.226606,-0.060658,1.915094,0.005810,-0.721659,1.841609,0.073484,0.242227,0.043687,0.114475,2.318386,1.966615,5.177447,333.755197,42.903589
13600,3,0.000293,0.228212,-0.059834,1.920305,0.006145,-0.717103,1.840400,0.079905,0.239023,0.033893,0.115342,2.315958,1.931368,5.178843,333.343429,42.966100
13700,3,0.000292,0.227911,-0.058946,1.912382,0.006007,-0.707964,1.839052,0.073330,0.241016,0.030294,0.119136,2.337649,1.678829,5.180729,332.900360,42.706456
13800,3,0.000292,0.225635,-0.060827,1.909747,0.005842,-0.724085,1.841186,0.068561,0.243203,0.035254,0.117568,2.285225,1.466465,5.182753,332.448793,42.901145
13900,3,0.000292,0.226427,-0.059360,1.905244,0.005780,-0.709708,1.836822,0.068422,0.240313,0.032263,0.114126,2.320276,7.471737,5.184699,332.002550,43.021854
14000,3,0.000292,0.225767,-0.060076,1.905622,0.005916,-0.717329,1.837191,0.068430,0.244023,0.043384,0.115364,2.314918,2.491076,5.186377,331.573779,43.114245
14000,0.005264,0.006521,0.008171,-0.055237,0.006615,-0.677674,0.069179,0.238281,0.238539,2.259842,0.046635,0.114173,42.574671
14100,3,0.000292,0.228285,-0.058879,1.914428,0.006214,-0.708546,1.836026,0.078402,0.245117,0.051599,0.113730,2.369319,2.892317,5.186998,331.212792,43.187532
14200,3,0.000292,0.232826,-0.057170,1.933306,0.006541,-0.695274,1.843832,0.089474,0.233320,0.045686,0.114404,2.351690,1.692532,5.188634,330.787123,43.092647
14300,3,0.000292,0.230958,-0.058293,1.928338,0.006466,-0.705539,1.841683,0.086655,0.238516,0.037278,0.116252,2.354663,1.344141,5.190479,330.348443,42.999805
14400,3,0.000292,0.231766,-0.059026,1.938613,0.006468,-0.711867,1.843865,0.094748,0.230156,0.029919,0.114716,2.329728,1.476774,5.190460,330.028549,43.381870
14500,3,0.000291,0.233615,-0.056049,1.931095,0.006724,-0.686593,1.845746,0.085349,0.233047,0.029031,0.118599,2.334452,3.001476,5.192013,329.608846,43.560669
14600,3,0.000291,0.232374,-0.057208,1.930545,0.006563,-0.695822,1.842809,0.087736,0.237773,0.038164,0.115462,2.333778,1.521241,5.192561,329.253047,44.112022
14700,3,0.000291,0.232592,-0.057699,1.935274,0.006417,-0.699286,1.841441,0.093833,0.235547,0.032296,0.116593,2.392558,1.596366,5.193835,328.851392,44.659219
14800,3,0.000291,0.233579,-0.057931,1.943395,0.006510,-0.702094,1.845358,0.098037,0.235703,0.036066,0.116964,2.413772,1.268982,5.195420,328.430321,45.225116
