step,loss,nll,crps,mean_mse,pred_mean_std,grad_norm,mean_nu,lr
13750,-2.582364,-1.221496,0.026894,0.017776,0.008257,8.926907,2.708147,0.000258
13800,-2.564636,-1.255507,0.025991,0.015518,0.007519,12.295311,2.690997,0.000258
13850,-2.599449,-1.242513,0.026061,0.015407,0.009404,10.484990,2.586956,0.000257
13900,-2.497514,-1.238694,0.026353,0.016566,0.009385,9.665971,2.686129,0.000257
13950,-2.541114,-1.242155,0.026112,0.017018,0.008778,10.060649,2.646263,0.000257
14000,-2.613223,-1.240979,0.025965,0.016638,0.009246,9.533184,2.690041,0.000256
14050,-2.613152,-1.237695,0.026688,0.016478,0.009047,13.974496,2.632055,0.000256
14100,-2.630069,-1.240294,0.026018,0.015841,0.006451,12.111050,2.711818,0.000256
14150,-2.538881,-1.238882,0.026738,0.017014,0.010012,17.918253,2.570393,0.000255
14200,-2.485296,-1.216614,0.027236,0.017802,0.007729,12.780942,2.745158,0.000255
14250,-2.611501,-1.245991,0.025807,0.015832,0.007725,11.122727,2.745343,0.000254
14300,-2.583882,-1.257892,0.026029,0.014920,0.007573,11.979279,2.625843,0.000254
14350,-2.546162,-1.218449,0.026476,0.017103,0.007718,14.659927,2.653735,0.000254
14400,-2.635280,-1.242305,0.026217,0.015947,0.008663,14.076354,2.706750,0.000253
14450,-2.580624,-1.242146,0.026566,0.016995,0.010817,12.472516,2.729390,0.000253
14500,-2.634984,-1.236729,0.026307,0.015866,0.009868,10.748930,2.692535,0.000253
14550,-2.579373,-1.233097,0.027142,0.015156,0.007783,11.526165,2.766026,0.000252
14600,-2.599561,-1.239292,0.026487,0.015425,0.008527,12.878738,2.849656,0.000252
14650,-2.570719,-1.223163,0.026864,0.016306,0.009356,10.871689,2.613001,0.000252
14700,-2.592903,-1.227338,0.026362,0.017942,0.009713,11.330688,2.736743,0.000251
14750,-2.668748,-1.238762,0.026384,0.016162,0.010015,12.133698,2.738392,0.000251
14800,-2.585863,-1.219436,0.026895,0.017497,0.010592,6.700829,2.658412,0.000251
14850,-2.579950,-1.238490,0.026324,0.016350,0.009683,12.287813,2.675690,0.000250
14900,-2.609332,-1.253362,0.025738,0.014978,0.008695,9.315921,2.727771,0.000250
14950,-2.521460,-1.240680,0.026436,0.016259,0.007751,11.389613,2.731213,0.000249
15000,-2.543878,-1.231624,0.026628,0.014996,0.008301,21.407658,2.572279,0.000249
